Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET - All Objects (Load),50,2,2,3,3,5,2,5,0.000%,16.98370,6.57,2.52
TOTAL,50,2,2,3,3,5,2,5,0.000%,16.98370,6.57,2.52
